product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume, comp_1 ,ps1, fp1 , comp_2 ,ps2, fp2 , comp_3 ,ps3, fp3 , lag_price 
bed1,bed_bath_table,"Thursday, January 5, 2017",1.00,$45.95,$15.10,$45.95,39,161,2,350,4.0,57,23,8,1,5,2017,10.27,3800, $89.90 ,3.9, $15.01 , $215.00 ,4.4, $8.76 , $45.95 ,4.0, $15.10 , $45.90 
bed1,bed_bath_table,"Friday, January 6, 2017",3.00,$137.85,$12.93,$45.95,39,161,2,350,4.0,61,22,8,1,6,2017,6.50,3800, $89.90 ,3.9, $14.77 , $209.00 ,4.4, $21.32 , $45.95 ,4.0, $12.93 , $45.95 
bed1,bed_bath_table,"Saturday, January 7, 2017",6.00,$275.70,$14.84,$45.95,39,161,2,350,4.0,123,21,10,1,7,2017,12.07,3800, $89.90 ,3.9, $13.99 , $205.00 ,4.4, $22.20 , $45.95 ,4.0, $14.84 , $45.95 
bed1,bed_bath_table,"Sunday, January 8, 2017",4.00,$183.80,$14.29,$45.95,39,161,2,350,4.0,90,23,8,1,8,2017,9.29,3800, $89.90 ,3.9, $14.66 , $199.51 ,4.4, $19.41 , $45.95 ,4.0, $14.29 , $45.95 
bed1,bed_bath_table,"Monday, January 9, 2017",2.00,$91.90,$15.10,$45.95,39,161,2,350,4.0,54,21,9,1,9,2017,5.56,3800, $89.90 ,3.9, $18.78 , $163.40 ,4.4, $24.32 , $45.95 ,4.0, $15.10 , $45.95 
bed1,bed_bath_table,"Tuesday, January 10, 2017",3.00,$137.85,$15.10,$45.95,39,161,2,350,4.0,50,22,9,2,10,2017,8.33,3800, $89.90 ,3.9, $21.57 , $45.95 ,4.0, $15.10 , $45.95 ,4.0, $15.10 , $45.95 
bed1,bed_bath_table,"Wednesday, January 11, 2017",11.00,$445.85,$15.83,$40.53,39,161,2,350,4.0,97,22,8,4,11,2017,30.56,3800, $89.90 ,3.9, $16.29 , $40.53 ,4.0, $15.83 , $40.53 ,4.0, $15.83 , $45.95 
bed1,bed_bath_table,"Thursday, January 12, 2017",6.00,$239.94,$15.23,$39.99,39,161,2,350,4.0,41,21,10,1,12,2017,16.67,3800, $88.49 ,3.9, $18.90 , $39.99 ,4.0, $15.23 , $39.99 ,4.0, $15.23 , $40.53 
bed1,bed_bath_table,"Monday, January 1, 2018",19.00,$759.81,$16.53,$39.99,39,161,2,350,4.0,62,23,8,2,1,2018,17.76,3800, $86.90 ,3.9, $19.38 , $39.99 ,4.0, $16.53 , $39.99 ,4.0, $16.53 , $39.99 
bed1,bed_bath_table,"Tuesday, January 2, 2018",18.00,$719.82,$13.75,$39.99,39,161,2,350,4.0,62,20,8,2,2,2018,16.82,3800, $86.90 ,3.9, $19.21 , $39.99 ,4.0, $13.75 , $39.99 ,4.0, $13.75 , $39.99 
bed1,bed_bath_table,"Wednesday, January 3, 2018",17.00,$679.83,$16.46,$39.99,39,161,2,350,4.0,43,22,9,1,3,2018,15.89,3800, $86.90 ,3.9, $19.98 , $39.99 ,4.0, $16.46 , $39.99 ,4.0, $16.46 , $39.99 
bed1,bed_bath_table,"Thursday, January 4, 2018",13.00,$519.87,$14.24,$39.99,39,161,2,350,4.0,34,21,9,1,4,2018,12.15,3800, $85.05 ,3.9, $12.94 , $39.99 ,4.0, $14.24 , $39.99 ,4.0, $14.24 , $39.99 
bed1,bed_bath_table,"Friday, January 5, 2018",19.00,$759.81,$10.26,$39.99,39,161,2,350,4.0,57,23,8,3,5,2018,10.27,3800, $83.65 ,3.9, $16.78 , $39.99 ,4.0, $10.26 , $39.99 ,4.0, $10.26 , $39.99 
bed1,bed_bath_table,"Saturday, January 6, 2018",5.00,$199.95,$14.00,$39.99,39,161,2,350,4.0,43,21,9,0,6,2018,6.50,3800, $79.90 ,3.9, $23.01 , $39.99 ,4.0, $14.00 , $39.99 ,4.0, $14.00 , $39.99 
bed1,bed_bath_table,"Sunday, January 7, 2018",8.00,$319.92,$20.42,$39.99,39,161,2,350,4.0,26,22,9,1,7,2018,12.07,3800, $77.93 ,3.9, $19.95 , $39.99 ,4.0, $20.42 , $39.99 ,4.0, $20.42 , $39.99 
bed1,bed_bath_table,"Monday, January 8, 2018",8.00,$313.92,$16.33,$39.24,39,161,2,350,4.0,15,23,8,1,8,2018,9.29,3800, $74.00 ,3.9, $17.26 , $39.24 ,4.0, $16.33 , $39.24 ,4.0, $16.33 , $39.99 
garden5,garden_tools,"Tuesday, January 3, 2017",6.00,$419.40,$32.68,$69.90,36,450,1,9000,4.1,21,23,8,1,3,2017,9.11,19656, $69.90 ,4.1, $32.68 , $69.90 ,4.1, $32.68 , $69.90 ,4.1, $32.68 , $69.85 
garden5,garden_tools,"Wednesday, January 4, 2017",3.00,$247.90,$34.22,$82.63,36,450,1,9000,4.1,17,20,10,2,4,2017,7.68,19656, $82.63 ,4.1, $34.22 , $82.63 ,4.1, $34.22 , $82.63 ,4.1, $34.22 , $69.90 
garden5,garden_tools,"Thursday, January 5, 2017",20.00,"$1,956.00",$39.90,$97.59,36,450,1,9000,4.1,34,23,8,1,5,2017,19.05,19656, $59.90 ,4.1, $19.73 , $59.90 ,4.2, $26.25 , $97.59 ,4.1, $39.90 , $82.63 
